,title,timestamp,edits
152,1996 CA-TennisTrophy – Singles,2010-12-31 00:00:00,2
153,1996 CA-TennisTrophy – Singles,2011-12-31 00:00:00,1
154,1996 CA-TennisTrophy – Singles,2012-12-31 00:00:00,3
155,1996 CA-TennisTrophy – Singles,2013-12-31 00:00:00,4
156,1996 CA-TennisTrophy – Singles,2016-12-31 00:00:00,2
157,1998 Pilot Pen International – Women's Singles,2010-12-31 00:00:00,3
158,1998 Pilot Pen International – Women's Singles,2011-12-31 00:00:00,1
159,1998 Pilot Pen International – Women's Singles,2013-12-31 00:00:00,2
160,"20,000 Watt R.S.L.",2005-12-31 00:00:00,3
161,"20,000 Watt R.S.L.",2006-12-31 00:00:00,14
162,"20,000 Watt R.S.L.",2007-12-31 00:00:00,11
163,"20,000 Watt R.S.L.",2008-12-31 00:00:00,12
164,"20,000 Watt R.S.L.",2009-12-31 00:00:00,7
165,"20,000 Watt R.S.L.",2010-12-31 00:00:00,7
166,"20,000 Watt R.S.L.",2011-12-31 00:00:00,10
167,"20,000 Watt R.S.L.",2012-12-31 00:00:00,3
168,"20,000 Watt R.S.L.",2013-12-31 00:00:00,4
169,"20,000 Watt R.S.L.",2014-12-31 00:00:00,8
170,"20,000 Watt R.S.L.",2015-12-31 00:00:00,3
171,2000 IIHF World Championship Final,2010-12-31 00:00:00,33
172,2000 IIHF World Championship Final,2011-12-31 00:00:00,3
173,2000 IIHF World Championship Final,2012-12-31 00:00:00,6
174,2000 IIHF World Championship Final,2013-12-31 00:00:00,3
175,2000 IIHF World Championship Final,2014-12-31 00:00:00,8
176,2000 IIHF World Championship Final,2015-12-31 00:00:00,3
177,2004 J&S Cup – Singles,2009-12-31 00:00:00,6
178,2004 J&S Cup – Singles,2010-12-31 00:00:00,3
179,2004 J&S Cup – Singles,2013-12-31 00:00:00,4
180,2004 J&S Cup – Singles,2014-12-31 00:00:00,2
181,2004 J&S Cup – Singles,2015-12-31 00:00:00,1
182,2004 J&S Cup – Singles,2016-12-31 00:00:00,1
183,2006 Internazionali BNL d'Italia – Men's Singles,2008-12-31 00:00:00,13
184,2006 Internazionali BNL d'Italia – Men's Singles,2009-12-31 00:00:00,7
185,2006 Internazionali BNL d'Italia – Men's Singles,2010-12-31 00:00:00,6
186,2006 Internazionali BNL d'Italia – Men's Singles,2011-12-31 00:00:00,1
187,2006 Internazionali BNL d'Italia – Men's Singles,2012-12-31 00:00:00,4
188,2006 Internazionali BNL d'Italia – Men's Singles,2013-12-31 00:00:00,7
189,2006 Internazionali BNL d'Italia – Men's Singles,2014-12-31 00:00:00,3
190,2006 Internazionali BNL d'Italia – Men's Singles,2015-12-31 00:00:00,1
191,2006 RCA Championships – Singles,2011-12-31 00:00:00,4
192,2006 RCA Championships – Singles,2012-12-31 00:00:00,1
193,2006 RCA Championships – Singles,2013-12-31 00:00:00,3
194,2006 RCA Championships – Singles,2014-12-31 00:00:00,4
195,2006 RCA Championships – Singles,2016-12-31 00:00:00,1
196,2006 Tour of the Basque Country,2006-12-31 00:00:00,19
197,2006 Tour of the Basque Country,2007-12-31 00:00:00,14
198,2006 Tour of the Basque Country,2008-12-31 00:00:00,15
199,2006 Tour of the Basque Country,2009-12-31 00:00:00,5
200,2006 Tour of the Basque Country,2010-12-31 00:00:00,6
201,2006 Tour of the Basque Country,2011-12-31 00:00:00,4
202,2006 Tour of the Basque Country,2012-12-31 00:00:00,2
203,2006 Tour of the Basque Country,2013-12-31 00:00:00,3
204,2006 Tour of the Basque Country,2014-12-31 00:00:00,1
205,2006 Tour of the Basque Country,2015-12-31 00:00:00,1
206,2006 Tour of the Basque Country,2016-12-31 00:00:00,1
207,2007 Munster Senior Hurling Championship Final,2009-12-31 00:00:00,21
208,2007 Munster Senior Hurling Championship Final,2010-12-31 00:00:00,2
209,2007 Munster Senior Hurling Championship Final,2011-12-31 00:00:00,1
210,2007 Munster Senior Hurling Championship Final,2012-12-31 00:00:00,7
211,2007 Munster Senior Hurling Championship Final,2013-12-31 00:00:00,2
212,2007 Munster Senior Hurling Championship Final,2014-12-31 00:00:00,2
213,2008 Mid-American Conference Baseball Tournament,2013-12-31 00:00:00,2
214,2008 Mid-American Conference Baseball Tournament,2014-12-31 00:00:00,1
215,2008 Mid-American Conference Baseball Tournament,2015-12-31 00:00:00,2
216,2010 in Albanian television,2015-12-31 00:00:00,7
217,2011 Conference USA football season,2011-12-31 00:00:00,151
218,2011 Conference USA football season,2012-12-31 00:00:00,15
219,2011 Conference USA football season,2014-12-31 00:00:00,1
220,2011–12 FC Politehnica Timișoara season,2011-12-31 00:00:00,108
221,2011–12 FC Politehnica Timișoara season,2012-12-31 00:00:00,12
222,2011–12 FC Politehnica Timișoara season,2013-12-31 00:00:00,9
223,2011–12 FC Politehnica Timișoara season,2014-12-31 00:00:00,1
224,2011–12 FC Politehnica Timișoara season,2015-12-31 00:00:00,8
225,2011–12 FC Politehnica Timișoara season,2016-12-31 00:00:00,5
226,2011–12 NCAA Division I women's basketball rankings,2011-12-31 00:00:00,2
227,2011–12 NCAA Division I women's basketball rankings,2012-12-31 00:00:00,12
228,2011–12 NCAA Division I women's basketball rankings,2013-12-31 00:00:00,2
229,2011–12 NCAA Division I women's basketball rankings,2015-12-31 00:00:00,1
230,2012 Città di Caltanissetta – Singles,2012-12-31 00:00:00,85
231,2012 Città di Caltanissetta – Singles,2013-12-31 00:00:00,2
232,2012 Città di Caltanissetta – Singles,2014-12-31 00:00:00,5
233,2012 Città di Caltanissetta – Singles,2016-12-31 00:00:00,2
234,2012–13 SC Paderborn 07 season,2012-12-31 00:00:00,8
235,2012–13 SC Paderborn 07 season,2013-12-31 00:00:00,11
236,2012–13 SC Paderborn 07 season,2015-12-31 00:00:00,6
237,2013 in Singapore,2013-12-31 00:00:00,47
238,2013 in Singapore,2014-12-31 00:00:00,26
239,2013 in Singapore,2015-12-31 00:00:00,5
240,2013 in Singapore,2016-12-31 00:00:00,2
241,2013–14 Wigan Athletic F.C. season,2013-12-31 00:00:00,396
242,2013–14 Wigan Athletic F.C. season,2014-12-31 00:00:00,170
243,2013–14 Wigan Athletic F.C. season,2015-12-31 00:00:00,6
244,2013–14 Wigan Athletic F.C. season,2016-12-31 00:00:00,1
245,2013–14 Xavier Musketeers men's basketball team,2013-12-31 00:00:00,42
246,2013–14 Xavier Musketeers men's basketball team,2014-12-31 00:00:00,37
247,2013–14 Xavier Musketeers men's basketball team,2015-12-31 00:00:00,2
248,2013–14 Xavier Musketeers men's basketball team,2016-12-31 00:00:00,2
249,2014 Copa del Sol,2014-12-31 00:00:00,78
250,2014 Copa del Sol,2015-12-31 00:00:00,1
251,2014 Northwest Territories fires,2014-12-31 00:00:00,10
252,2014 Northwest Territories fires,2015-12-31 00:00:00,2
253,2014 Northwest Territories fires,2016-12-31 00:00:00,2
254,2014–15 Beitar Jerusalem F.C. season,2014-12-31 00:00:00,110
255,2014–15 Beitar Jerusalem F.C. season,2015-12-31 00:00:00,87
256,2015 Santosh Trophy qualification,2014-12-31 00:00:00,10
257,2015 Santosh Trophy qualification,2015-12-31 00:00:00,69
258,20Q,2005-12-31 00:00:00,32
259,20Q,2006-12-31 00:00:00,76
260,20Q,2007-12-31 00:00:00,62
261,20Q,2008-12-31 00:00:00,44
262,20Q,2009-12-31 00:00:00,37
263,20Q,2010-12-31 00:00:00,6
264,20Q,2011-12-31 00:00:00,22
265,20Q,2012-12-31 00:00:00,20
266,20Q,2013-12-31 00:00:00,8
267,20Q,2014-12-31 00:00:00,4
268,20Q,2015-12-31 00:00:00,11
269,20Q,2016-12-31 00:00:00,1
270,32nd Canadian Parliament,2004-12-31 00:00:00,13
271,32nd Canadian Parliament,2005-12-31 00:00:00,37
272,32nd Canadian Parliament,2006-12-31 00:00:00,39
273,32nd Canadian Parliament,2007-12-31 00:00:00,54
274,32nd Canadian Parliament,2008-12-31 00:00:00,12
275,32nd Canadian Parliament,2009-12-31 00:00:00,12
276,32nd Canadian Parliament,2010-12-31 00:00:00,7
277,32nd Canadian Parliament,2011-12-31 00:00:00,14
278,32nd Canadian Parliament,2012-12-31 00:00:00,8
279,32nd Canadian Parliament,2013-12-31 00:00:00,8
280,32nd Canadian Parliament,2014-12-31 00:00:00,4
281,32nd Canadian Parliament,2015-12-31 00:00:00,5
282,32nd Canadian Parliament,2016-12-31 00:00:00,1
283,44th Infantry Brigade (United Kingdom),2008-12-31 00:00:00,18
284,44th Infantry Brigade (United Kingdom),2009-12-31 00:00:00,5
285,44th Infantry Brigade (United Kingdom),2010-12-31 00:00:00,2
286,44th Infantry Brigade (United Kingdom),2011-12-31 00:00:00,5
287,44th Infantry Brigade (United Kingdom),2012-12-31 00:00:00,6
288,44th Infantry Brigade (United Kingdom),2013-12-31 00:00:00,2
289,44th Infantry Brigade (United Kingdom),2014-12-31 00:00:00,7
290,44th Infantry Brigade (United Kingdom),2015-12-31 00:00:00,18
291,44th Infantry Brigade (United Kingdom),2016-12-31 00:00:00,1
292,8th & Pine (St. Louis MetroLink),2016-12-31 00:00:00,1
293,A Frolic of His Own,2006-12-31 00:00:00,9
294,A Frolic of His Own,2007-12-31 00:00:00,2
295,A Frolic of His Own,2008-12-31 00:00:00,5
296,A Frolic of His Own,2009-12-31 00:00:00,2
297,A Frolic of His Own,2011-12-31 00:00:00,3
298,A Frolic of His Own,2012-12-31 00:00:00,7
299,A Frolic of His Own,2013-12-31 00:00:00,10
300,A Frolic of His Own,2014-12-31 00:00:00,8
301,A Frolic of His Own,2015-12-31 00:00:00,6
302,A Frolic of His Own,2016-12-31 00:00:00,3
303,A Mulher Invisível,2011-12-31 00:00:00,22
304,A Mulher Invisível,2012-12-31 00:00:00,8
305,A Mulher Invisível,2013-12-31 00:00:00,7
306,A Mulher Invisível,2014-12-31 00:00:00,5
307,A Mulher Invisível,2015-12-31 00:00:00,2
308,A Mulher Invisível,2016-12-31 00:00:00,1
309,Abba Kompaneyets,2013-12-31 00:00:00,4
310,Abba Kompaneyets,2014-12-31 00:00:00,1
311,Abba Kompaneyets,2015-12-31 00:00:00,1
312,Abbo (bishop of Soissons),2013-12-31 00:00:00,3
313,Abbo (bishop of Soissons),2015-12-31 00:00:00,1
314,Abbo (bishop of Soissons),2016-12-31 00:00:00,1
315,Abu al-Abbas al-Nabati,2012-12-31 00:00:00,20
316,Abu al-Abbas al-Nabati,2013-12-31 00:00:00,24
317,Abu al-Abbas al-Nabati,2015-12-31 00:00:00,1
318,Abu al-Abbas al-Nabati,2016-12-31 00:00:00,2
319,Abu al-Hassan al-Amiri,2007-12-31 00:00:00,9
320,Abu al-Hassan al-Amiri,2008-12-31 00:00:00,2
321,Abu al-Hassan al-Amiri,2009-12-31 00:00:00,14
322,Abu al-Hassan al-Amiri,2010-12-31 00:00:00,6
323,Abu al-Hassan al-Amiri,2011-12-31 00:00:00,14
324,Abu al-Hassan al-Amiri,2012-12-31 00:00:00,5
325,Abu al-Hassan al-Amiri,2013-12-31 00:00:00,3
326,Abu al-Hassan al-Amiri,2014-12-31 00:00:00,2
327,Abu al-Hassan al-Amiri,2015-12-31 00:00:00,3
328,Abu al-Hassan al-Amiri,2016-12-31 00:00:00,3
329,"Acalmani (Ayutla de los Libres), Guerrero",2010-12-31 00:00:00,6
330,"Acalmani (Ayutla de los Libres), Guerrero",2011-12-31 00:00:00,1
331,"Acalmani (Ayutla de los Libres), Guerrero",2014-12-31 00:00:00,1
332,"Acalmani (Ayutla de los Libres), Guerrero",2015-12-31 00:00:00,1
333,Achhalda,2006-12-31 00:00:00,5
334,Achhalda,2007-12-31 00:00:00,6
335,Achhalda,2008-12-31 00:00:00,3
336,Achhalda,2009-12-31 00:00:00,5
337,Achhalda,2010-12-31 00:00:00,4
338,Achhalda,2011-12-31 00:00:00,5
339,Achhalda,2012-12-31 00:00:00,3
